r1595
FAOXC163C143m
BHBt
r0721
TMDM3hr
FAOXC123m
DNDPt59m
RSVhc
EX_bilirub(e)
RDH3a
ILEt5m
GLCURtly
ESTSULT
RAI3
CYSGLTH
r0463
EX_eicostet(e)
RE3145X
CHSTEROLtrc
C204CPT2
NCCt
r0909
r2396
r0788
r0962
EX_carn(e)
FACOAL1832
r1990
PHEMEe
r0860
HOMt4
6MELVSTthep
EX_hdcea(e)
M4MPDOL_Uter
r2251
HDECEACBP
r1867
r0789
C6DCc
LINOFATPtc
S6T4g
PUNP7
G6Pter
EX_phe_L(e)
INSTt4_2
EX_val_L(e)
5OXPROt
RE1527M
HSD3B12r
EX_retnglc(e)
EX_35cgmp(e)
2DR1PP
C3STDH1r
C81CRNe
TETHEX3COAtx
EX_whhdca(e)
MANter
DEOXFVSitx
EX_HC01440(e)
FAOXC200180x
C4STMO2Pr
GT1Atg
34DHOXPEGt
r2199
EX_tmd(e)
r1821
EX_andrstrn(e)
SERB0AT3tc
GLYt2r
LPASE
r1758
LACLt
r2377
FPGS5m
r2193
FPGS5
EPOXTACtev
35CGMPtn
LNS14DM
r1665
r2518
ELAIDCPT1
PI3P3Pn
S6T2g
r0871
KYNAKGAT
r1631
FAOXC61C4m
r1956
r1367
r0119
r0672
FAOXC13C11m
r2352
r2210
TTDCPT2
WHHDCAte
5OHFVSitr
r0651
r2020
FAOXC201C181x
DHCR243r
UGLCNACtg
EX_fe2(e)
FAOXC183C163m
GALACGLCGALGBSIDEte
r2333
NAt5
r2364
GBSIDEtl
EX_C04849(e)
SMVGLUChep
FAOXC12C12OHm
EX_dcmp(e)
DPCOAPPe
r0678
SACCD3m
7AHGLZABCt
LEUPHELAT2tc
4BHGLZhr
S6TASE16ly
3HLVSTACtbc
GLYCK2
PSFLIP
FAOXC160140m
RE1534M
EX_dpcoa(e)
H2O2t
FADtru
r2126
DHGLZtev
GLUTCOAACBP
ATPH1e
GPAM_hs
r0845
KYN
EX_2425dhvitd3(e)
EX_gum(e)
NACHEXA12ly
r2092
BILIRUBt2
H2Ot
H4ET3er
1531TACRtev
EX_retinol_cis_11(e)
RE2993X
glyc3pte
RE2666G
r1502
RE3122C
GLNB0AT3tc
DAGK_hs
THMPPtm
RE3141X
PYNP2r
NORANMT
RNDR1
ARAB_Lt
PGS
NACHEXA19ly
FAOXC142C122x
MI1PS
r2132
FOLR2
r0924
31DMTitr
r2171
r1800
C10OHc
MMSAD3m
GALGALGALTHCRMte
NRPPHRSULT
HMGCOAtm
FUCGALGBSIDEte
FAOXC184x
4MTOLBUTAMIDEte
RE3076X
EX_dhap(e)
CYTK12n
NTD8
NTD4e
ALOX52
CYSTGLUex
r1695
CLHCO3tex2
r1710
CSNt
DESAT18_10
TALA
GALASE9ly
CYTK4n
r1747
NADtn
EX_nrvnc(e)
TRIPVSteb
DADNK
NTD11
HDD2COAtx
ACYP
EX_tsul(e)
ST3GAL21g
EX_am4ncs(e)
r2027
EBASTINEOHtr
THRGLNexR
OCOAT1m
RE2677G
FPGS4
DNDPt58m
LEUKTRD4t
r1822
4HPROLTASCT1
r0451
4NPHSULT
PVSitr
EX_strch1(e)
G5SDym
CORE6GTg
PItx
ACNAMPH
CO2tp
ILEB0AT2tc
CYSTA
r0709
AM1CGLCteb
BAAT2x
56DHPVSteb
r2045
C180CPT2
TMDOATthc
EX_rbt(e)
THYOXt
r1817
ATPtx
MM6B1bg
ALAR
C142OHc
NAHCO3_HCLt
LSTNM1tev
r0692
r1170
r1045
r2296
3HLVSTAChep
KSIt
r1702
SMVACIDitr
EX_4hatvlac(e)
r1725
PGLYCt
1331TACRhr
r0021
r1598
r0483
EX_estrones(e)
PCHOL_HSter
r1681
ISOLVSTtbc
C50CPT1
ACHEe
LVSTACIDtu
EX_fucfucfucgalacglcgal14acglcgalgluside_hs(e)
BTND1n
BAAT4x
4HATVACIDOXDhc
7BHGLZGLCtev
r0693
GK1
DHCRD2
r2502
ST3GAL61g
3HPVSTETteb
NDP8
r0697
RE3110C
r0706
sink_pre_prot(r)
DM_datp_n_
r1857
r1304
HEX1
r0610
r2384
UDPGLCAter
RAI1
ACCOALm
PROSTGE2t2
CRNCARtp
r0281
LEUB0AT3tc
r1018
ARGATB0tc
AG13T16g
LVSTOXD6Hhep
EX_ala_D(e)
r0817
SEBCOACROT
RTOTALCRNt
r2182
FAOXC102_4Z_7Zm
r1556
M13N2Tg
F1PGT
FACOAL241
CLI2tex
GGH_6THFl
C160CPT2
FAOXC15C13m
EX_HC01700(e)
r1392
FACOAL260
EX_HC00955(e)
RE1522X
ACALDtx
CVM1GLUChc
ATPtn
EX_HC02204(e)
LST4EXPTDhc
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg
DNDPt46m
EX_24nph(e)
GLYCTDle
r0179
EX_Lcystin(e)
RE3626M
ESTRONESt
ACACT10m
AG13T17g
r0392
EHGLAT2m
IDPtn
ACS
EX_12HPET(e)
C161CPT22
CORE4GTg
FACOAL40im
r0786
LPS2
r2043
OIVD2m
GNDer
EX_nad(e)
PTRCOX1
RADH
r1444
CGMPt
2HATVACIDGLUCitr
1513TACRtu
TRIODTHYSUFt
r1705
TKT2
AM9CSAitr
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte
r1949
r0975
ADNt4
SPODMm
r1826
FUT12g
MERACMPthc
ABTArm
EX_fvs(e)
PI45P4P
r1078
FAOXC180x
4PYRDX
LSTNM2tev
r2070
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte
r0283
r0295
ACMPGLUChr
NTD2
FAOXC10080x
MM8Ag
HIVCACBP
r0393
ACMPShc
r2485
TRPB0AT3tc
r0931
ADPACTD
r2116
LCADi_D
RE1810M
HESTRATRIOLtr
r2242
MEVK1c
UNK2
r2145
DM_hretn_n_
r2264
HXANtx
AKR1D2
PTVSTtep
r1106
TMDOATPtsc
EX_udpg(e)
B3GNT32g
r1020
r0062
FAOXC2051843x
CRVSitr
LEUATB0tc
RE1518M
r0475
GAMYe
THRFVStev
RE2988X
XYLK
N4Tg
TRIODTHYSULT
MINOHPtn
r1973
r1830
GLUDym
TMNDNCCPT2
LGNCCOAtcx
r0995
BIDGLCURr
EX_inost(e)
ABO1g
r2298
AM9CSAteb
ACACT6p
SPHINGStl
GLNASNNaEx
GTHO
LSTNtd
THD1m
ALAGLNexR
r1014
CRVSATPtu
NACHEX13ly
GALACGLCGALGBSIDEtg
NNATn
RE3231C
r2494
EX_fucgal14acglcgalgluside_hs(e)
r2157
r0450
OIVD1m
r1971
r1532
ATPH2e
r1175
DGSNt
RE3218C
EX_for(e)
r0974
r2151
S6T15g
r2188
ECOAH12m
BAMPPALDOX
r2022
r1958
4HBZFm
EX_pheacgln(e)
r1963
P45011B12m
RE1796R
r2120
TLACFVShc
r1728
NTD6
r1169
MALT
5ADTSTSTERONEGLCte
NDERSVteb
DECDICRNe
UNK3
FTCD
ACALDt
EX_HC01446(e)
r2016
SFGTH
LNLCCRNt
EX_1hmdgluc(e)
EX_utp(e)
EX_CE2838(e)
NTD9
HAS2
r2201
MM5ag
LTC4Sr
SMVACIDtev
r1974
r0649
r2425
CLCFTRte
GLYVESSEC
r2363
r0474
r0960
HEXDCRNe
r2286
EX_mdzglc(e)
AG13T8g
FAOXC226C227m
r2374
MMMm
r1678
r1989
PI345P3Pn
SPMDOX
LVSTACIDitr
r1168
PI45P3K
r1910
r0853
DGCHOLte
FUT11g
HSD17B2r
r1995
FOLABCCte
DESAT18_6
ARGN
IBUPGLUCtchep
r1991
6OHFVSitr
PSYGCHe
GGT5r
AM1CCSteb
3HPVStep
3HPVSTETCOAitx
r0388
NACHEXA18ly
ACCOAC
FAOXC162_7E_10Em
PCRNtc
GLPASE2
r1764
r0603
FAOXC163_7Z_10Z_13Zm
ACCOAtr
MM7B1g
FUMSO3tm
EAFLATOXINte
r2143
FAOXMC10OHMC10r
PPBNGS
FATP7t
r2387
11DOCRTSLtr
DOLGPP_Uer
r1546
6HLVSTACIDitr
35DHPVShc
r2302
HIVCRNe
r1698
EX_sl_L(e)
LST4EXPitr
r0993
EX_sph1p(e)
EX_lstnm2(e)
DNDPt57m
DUMPtn
HMGLm
DM_mem2emgacpail_prot_hs_r_
AG13T12g
EX_CE2839(e)
7DHFtl
r1761
RE0702E
FAOXC14DCC12DCx
CRVS23M24hc
EX_dttp(e)
EPOXTAChr
r0470
FTHFL
GLYOp
RE1533M
r2066
FUT91g
RE0453N
r0354
r1824
2HATVACIDtep
EX_gt1a_hs(e)
11DOCRTSTRNtr
r2106
DNDPt32m
RE2990X
THYOXt2
CBPSam
r0210
r2215
r0571
ADPACDAc
EX_octa(e)
r1051
41R1H2MAE12BOOX
MMTSADm
r2170
PCHOLPm_hs
r1639
FAOXC121C101m
FAOXC163C142x
GPIMTer_U
r2520
PCLAD
FAOXCPRIST2x
EX_vacc(e)
AMPtp
RE0568C
EX_ebastineoh(e)
r2347
FAOXC2251836m
PGM
RE3228C
BDHm
FAOXC201181x
TCHOLAt3
MI1345PP
3OHACMPhr
r2107
ALAB0AT3tc
C204CPT1
r0616
r1549
CRVSM24itr
C120CRNt
SIAASE4ly
r1754
EX_csa(e)
FAOXC161_9Em
EX_hyptaur(e)
r2021
FOLt2
3HPVSTETCOAhcm
LVSTOXD6METhep
r2343
r1985
RE2625C
r0782
SUCOAS1m
56DHPVShc
FAOXC170150m
RE0512X
ALATA_L
ADNK3
GALGLUSIDEtg
7BHGLZGLCitr
S6TASE26ly
LSTNM5hr
BVITEt
3HPVShc
FAOXC164x
GLUtr
ALDSTRNte
FUMtm
EX_dgmp(e)
r0224
GALASE5ly
DUTPDPm
r1143
r2315
IDHPOXOX4
r2225
r2054
SBTle
THRATB0tc
MMCDm
EX_dopa(e)
LEUyLAThtc
FACOAL246_1
r1993
AACTOOR
r1669
CYTK13
NaKt
r1377
r1786
PSDm_hs
P45011B11m
r2172
FALDtm
r0639
ESTRONEtr
AMETr
RE1518X
HC00342te
C8DCc
EX_5mta(e)
RE3244C
r2044
OMHPALTD
ARGSS
EX_ppa(e)
r2437
EX_mepi(e)
Uritn
r1783
DM_sprm_c_
C4STMO1r
r1953
EX_am1accs(e)
EX_spc_hs(e)
FPGS6
CLOHtex2
BCDO
r2344
XYLTD_Dr
FUT93g
SPTix
6HLVSTAChep
r2026
RNDR2
DTTPtm
H2Otly
PPCDC
DOPABMO
PMEVKc
r0384
BILGLCURte
EX_leugly(e)
PE_HSter
SERtN1
EX_23cump(e)
r1890
FAOXC16DCC14DCx
FAOXC182C182OHm
H7MTer_U
1HMDZGLUChc
LSTNM7TDhc
ASAH1
r1723
6HLVSTitr
GCCbim
r1464
NACHEX16ly
FAEL204
r0698
RE1709N
6DHFtm
C14OHc
KHte
r0761
CARBIBUP_SGLUthv
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte
FAOXC164GC163m
ADPT
r2490
GPDDA1
EX_3tetd7ecoacrn_
15DMTtu
FAS160COA
DPCOAtl
EX_tre(e)
r0002
UPPDC1
6THFtl
r1831
G5SADrm
r2159
PRDXl
NACHEXA17ly
r0615
GLYGLYPEPT1tc
FAOXC260240x
r1167
3DPHBH2
r2362
UROLACer
GLYBtm
GGH_6DHFl
10FTHF7GLUtm
CHSTEROLt3
PVSHtu
EX_ptvstm3(e)
ACACtx
RE2655R
FAOXC143C123m
EX_ps_hs(e)
2HATVACIDitr
TYRt
HCO3_CLt
GAMt1r
DMHPTCRNCPT2
RETABCtc
MHGLZhr
NACHEX19ly
r2486
DNDPt22m
TDCRNe
NDPK3m
G13MT_U
r0669
EX_tcynt(e)
OIVD3m
r1895
EX_ribflv(e)
AM1CCSitr
FACOAL160i
EX_desfvs(e)
DNDPt34m
2HATVLACthc
LEUKTRA4tr
EX_5htrp(e)
EX_prostge2(e)
r2247
AG13T3g
LPCHOLt
r1751
GLYtp
r1756
r2513
ACCOAL
AMPTASECG
FAOXC16OHC16r
EX_6melvst(e)
OBDHc
r1536
S6TASE13ly
LSTN1GLUChr
EX_bilglcur(e)
r0718
RIBt2
ORPT
EX_4hmdgluc(e)
H2Otm
EX_glyleu(e)
CRVS1tev
FOLOAT1tc
CYSATB0tc
RDH2a
B3GNT314g
PIt7
ACALDtm
CYANtm
P45017A4r
ELAIDt
DOLPH_Uer
RE3272N
DLNLCGCPT2
TETPENT3COAtx
C16txc
r1721
10FTHF6GLUtm
EX_HC01441(e)
MALTSULtm
LFORKYNHYD
r1446
TRIPVSitr
CYTDn
UMPK
FAOXC61_3Zm
NACHEX24ly
DOPACHRMISO
r2492
SRTNt6_2_r
G6PDA
r0681
r2060
r1851
CYTK4
GALSIDEtg
NADHtpu
KSII_CORE2tly
HSD3B3r
PNTEHe
FAOXC7C5m
LSTNM5tev
MG3er
CYTDt2r
r1673
LPSe
RE3566C
CDSm
NTD2e
SIAASE2ly
COQ3m
EX_malttr(e)
FAOXC225_4Z_7Z_10Z_13Z_16Zm
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte
r1571
1HMDGLUChr
PMTFATPtc
FALDtly
r2214
PTDCACRNCPT1
r1966
BTNt2
ICDHyrm
CHSTEROLt2
DUTPDP
THYPX
r2294
r2104
r1988
r1899
MTHFC
DM_datp_m_
r2304
r1552
2HATVLAChc
CYSGLYexR
NADH2_u10m
GULNDer
EX_lac_D(e)
RE2987X
r2266
DHCR242r
BGLUTCHLe
SMVtv
15DMTitr
3HPVSCOAhc
FAOXC121_3Zm
RE2626C
FVSteb
AM4N9CStev
GMPS2
UMPK3n
UMPK5n
r2416
EX_galfucgalacglcgal14acglcgalgluside_hs(e)
r0809
FAOXC4C4DCc
VITD3t
6BHGLZGLCitr
EX_asp_L(e)
MECOAS1m
RETNGLCt2
biomass_lipid
r1941
r0441
24_25DHVITD3t
FAOXC182C162m
M7MASNBterg
6AHGLZhr
RE3140X
NDP3ex
DURIt
GLYBt4_2_r
r2370
P4502C19
EX_HC00250(e)
r0556
FAOXC225C204x
GCHOLAt2
FAOXC15BRC13BRx
r2331
SGPL12r
METB0AT2tc
FUT910g
4HOXPACDOX_NADP_
LNLNCACPT2
1OHMDZitr
UMPK4n
FAOXC2031836m
NADS2
r0139
r2034
1331TACRtev
PDHm
NICRNTtn
DM_dgpi_prot_hs_r_
EX_3hdececrn_
LNLNCAt
UMPKn
r1029
BETALDHxm
P4502C9
EX_HC02203(e)
FAS120COA
GASNASE3ly
EX_smvacid(e)
RE2998M
FAOXC163_4Z_7Z_10Zm
P4507B11r
ADK1m
EX_lstnm1(e)
CYSB0AT3tc
PHYTt
1MNCAMti
r0363
BALAPAT1tc
NACHEXA13ly
NCAMDe
r0779
TYRCBOX
COQ7m
FAOXC164C143x
DNDPt26m
PRPNCOAHYDm
GAL3ST11
r1918
INSTt4
EX_pydx5p(e)
PAIL45P_HStn
DKMPPD
r2174
r1900
EX_acmpglu(e)
GTMLTe
AM1CGLChr
G3PD1
EX_c6crn_
FATP5t
CHOLD2m
LALDO
r0653
G14T2g
FAOXC81C61m
ABO6g
LSTNM4itr
NACHEX23ly
SRTNENT4tc
EX_anth(e)
RSVitr
LPCOXp
FAOXC6C4x
Rtotaltl
EX_lstnm4(e)
GLUDC
FATP8t
CYTK7
FPGS3m
EX_mag_hs(e)
O16G2e
r1701
CRGLZABCt
EX_glygly(e)
r2488
TOLBUTAMIDEte
EX_tagat_D(e)
EX_acmp(e)
EPOXTACitr
C6CRNe
r2177
CHOLESTle
EX_9_cis_retfa(e)
r1708
r2168
EX_tststerone(e)
r1771
AATAi
r2224
LEUKTRC4t
NTD10
r0633
G14T6g
BALAVECSEC
SLDx
SULFOX
ORETNtn
r0917
GNMT
O2tp
FAOXC2252053x
r0942
DCSPTN1CRNt
FAOXC15NADx
EX_mal_L(e)
12HTACRitr
r0758
ADNtm
EX_chtn(e)
AM19CSALThr
r1481
3HPVSCOAitx
HIBDm
r0208
FUT95g
FAOXC15NADPx
biomass_reaction
EX_i(e)
EX_pydxn(e)
FUT911g
SFCYSe
FCLTm
FE2DMT1
FBA4
r1517
r2382
EX_whddca(e)
ETOHMO
r1531
4HATVLACteb
FAOXTC142TC122m
SBPP1er
TMDM1itr
ADSL1
AKR1C1
ATVACIDitr
EX_tethex3(e)
MTHFDm
RDH2
r1411
G12MT2_U
UGALGTg
r2032
FAOXC12DCc
YVITEt
r0358
TMDitr
FAOXC182_9Z_12Zm
F6Tg
C100CPT1
SUCCCROT
FAOXC5C3x
EX_retfa(e)
NACHEX15ly
r0221
ATPS4m
FAOXC180
2HATVLACtep
r1788
FAOXC7050m
S6T16g
RE2759X
r0762
ALAyLATthc
r2191
PIK5n
RE1807M
GALC
RE3565C
EX_glu_L(e)
RE2651R
DOLPMT3_Uer
HISyLATthc
r1696
GLYPROPRO1c
QUILSYN
KCCt
r0051
FAOXC2251836x
NACHEX26ly
PI345P5Pn
AM1A4NCSteb
r1873
EX_lstnm7(e)
FADH2tru
LGNCFATtc
AMPTASECGe
CYSTLEUrBATtc
SUCRe
r1687
r2222
EX_3mlda(e)
RE2666C
r2041
CRVSM1hr
ARACHt
HISD
NADPtru
24NPHte
EX_h(e)
r0163
ARACHCPT2
CBASPte
RETI2
P45046A1r
RTOTALCRNCPT2
2HATVLACGLUCteb
ATVLACh2r
r2407
r2271
r0377
4BHGLZABCt
IVCRNe
ESTRAABCtc
FAOXC140120m
AKGMALtm
INSK
HMGCOASim
r2036
NPTHLte
2HATVACIDthc
FAOXOHMC10DC10c
GLYGLYCNc
r0744
DNDPt49m
EX_Tyr_ggn(e)
KYN3OX
r1155
r1573
LEULEULAPc
DM_dgtp_m_
RE3567C
EX_h2o2(e)
7AHGLZitr
GSNt5le
GLNtm
GNDc
FACOAL2251
FAOXC141C121m
CYSACMPAChc
MAGt
NADPNe
URIDK2m
r2115
ACACT7p
RE1531X
MMSAD1m
OCDCEAtr
ATPasel
TAURtcx
GALGLUSIDEtl
S6TASE18ly
DHCHOLESTANATEtm
EX_1mncam(e)
DNDPt47m
URIt
FUT17g
DAG_HSter
DATPtm
r0618
TRIODTHYt
4BHGLZtev
r0726
EX_lnlncg(e)
THBPT4ACAMDASE
r1732
SUBERCACT
BUTt2r
NDPK7
EPOXTACteb
RE3009C
r2309
r1493
3HCO3_NAt
HMGCOARc
r0770
r2212
7HPVShc
URIK1
UAG2EMAi
CREATtmdiffir
DGTPtn
KHK2
4NPHSFte
MEOHt2
r0812
AVITE2t
2HATVACIDteb
HTDCRNe
ACCOACm
r0987
CHSTEROLt
EX_sucr(e)
FAOXC6040m
r0688
EX_cholate(e)
r1952
B3GNT39g
GUMGCHLe
56EPPVSitr
ABUTD
GLUPRT
5THFtm
RE2069C
DESAT18_7
EX_his_L(e)
5MTHFt2le
15DMThr
CTPS2
CRNATBtc
r2255
C3STDH1Pr
FAOXC61x
MALSO4tm
ILETAm
r2059
25HVITD3tin
SAMHISTA
r1544
FAOXC183806m
CYSTHRNaEx
3SPYRSP
CYTK8n
C8CRNe
ITCOAL1m
G16MT_U
PIPLC
VALtec
r1374
r0671
FERO
EX_cdp(e)
DGNSKm
P450SCC1m
EX_4mtolbutamide(e)
CRVSM22itr
r2317
r1837
IDHPOXOXb
OCD11COACPT1
r2401
EX_sfcys(e)
DURIK1m
NACHEX10ly
FUT15g
r1691
GLNyLATthc
FUT18g
ALASERNaEx
XOLTRI27te
r1872
r1904
6HSMVACIDteb
EX_pglyc_hs(e)
r2005
FATP1t
HSD3A1r
FUT98g
RETFA
UMPK2n
1HMDGLUCitr
PTDCAt
EX_pan4p(e)
r1636
FAOXC1811601m
HSD17B7r
r2353
FALDH
r1741
PI34P5K
PTVSThc
MANt4
r2205
RETH
FAOXC10C10OHm
r2403
r2230
r2002
GLC3MEACPitr
GLNALANaEx
ME2m
r0181
CAATPS
LNLCCPT1
PROt2r
CYStec
DM_atp_c_
CAMPt
r1450
EX_3mob(e)
GLYitr
P4504F123r
EX_succ(e)
AM19CSteb
r1856
6BHGLZhr
r1621
MI134PP
APOCF
EX_xolest2_hs(e)
NADHtru
6BHGLZtev
r1877
CYTK1m
r2509
DLNLCGCPT1
r0666
URCN
r2163
FACOAL1831
FCOAH
EX_pi(e)
EX_nh4(e)
DCATDc
HOXG
FAOXC2051843m
ADNK1m
CYTK13n
1513TACRtep
INSt5le
EX_CE5797(e)
56DHPVStev
r2169
ESTRADIOLtr
ESTROSABCCte
r1866
CYTK11n
GMPtg
FAOXC142C142OHm
PROIMINOtc
ATVLAChr
FAOXC102x
THRASNNaEx
PUNP2
14MDZtev
HPDCAt
FADH2tx
AM4N9CSitr
r0220
SPHMYLNtg
HGNTOR
EX_fvstetglu(e)
EX_HC01577(e)
GALASE6ly
r2405
AKR1C41
MM7Cbg
CSND
CITL
LGNCFATPtc
S6T17g
APPNNte
PVSGLUCteb
RE3301C
FACOAL1821
PYDXK
EX_ptrc(e)
r2082
EX_4hdebrisoquine(e)
HAtly
ACCOAtn
ATPtm
ATVACIDMCTtu
FAOXC5030m
UGT1A1r
r1798
DNDPt35m
DNDPt27m
r0573
CRVSM24teb
r2400
r2503
ATVACIDtu
CYSTSERex
r2173
biomass_carbohydrate
C121CPT1
10FTHF7GLUtl
r1987
CRVSM1SPhc
LCADi
r2057
FAOXC184C164m
r2124
biomass_DNA
RE0926E
FOAXC122C101x
PRISTCOAtcx
r2341
EX_lpchol_hs(e)
ATVLACitr
SUCCACT
CYSSNAT5tc
GLXtm
NH4tp
DHEAtr
OCTDECCPT1
r1551
HIStiDF
EX_4nph(e)
PCHOLPr_hs
r1843
EX_bvite(e)
r0130
EX_am1c9cs(e)
IMPC
ANDRSTRNte
FAOXC183_9Z_12Z_15Zm
GLXtp
FAOXC123x
UGCG
r2375
r0907
SPHGNtr
CRVSM1hc
r2198
NAt3_1
r1886
GALASE16ly
r0594
TMNDNCt
EX_4mop(e)
BTNPLm
r2234
DOLDPP_Uer
DHCRD1
CHATn
LSTN1GLUCitr
r1615
6BHGLZGLCABCt
RE0567C
r1808
CEPTC
r0781
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg
FPGS4m
ALCD1
GTHOm
1531TACRteb
r1011
S6TASE17ly
EX_etoh(e)
DNDPt21m
PCRNtm
EX_lstnm5(e)
r2162
DCMPDA
HCOUMARINte
CYSPHELAT2tc
r2373
r2055
CRNtx
DADA
THMTPt
NDPK1n
GALASE4ly
CH25H
ASPPROASCT1
r1891
r0686
EX_3aib(e)
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs(e)
EX_lvstacid(e)
RETNGLCt2r
EX_c51crn_
DNDPt50m
EX_ddca(e)
C10DCc
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte
MI14PP
r2185
r0777
r2053
r1939
CYTK6n
CSASULPhc
r0422
VALPHELAT2tc
GACMTRc
r2029
PTVSTitr
EX_prpp(e)
AM1CSAtep
3HPVSteb
r2235
FE3MTP1
G14T17g
MALSO3tm
CRMPte
EX_3hlvstacid(e)
IZPN
OXAHCOtex
EX_5mthf(e)
RETNtr
r2283
EX_tag_hs(e)
r1251
r0407
LST4EXPthc
r2357
EX_6hmsmvacid(e)
DIGALSGALSIDEte
r2472
r1599
XOL7AH2tm
r1523
P4502C18
r0719
UMPK7
MI145PP
PGSr
H2MTer_U
r2013
RE3346M
GAL3ST12
NMNATr
GTHS
r0570
r2388
FUMSO4tm
EX_carveol(e)
r0385
OXAtp
DM_oretn_n_
PPAtm
GTHRDt
r1737
r1685
DITPtn
SERtp
EX_tdchola(e)
P5CRm
NH4t3r
H7ET2er
GLUDxm
GSNt
r2386
FAOXC205_5Z_8Z_11Z_14Z_17Zm
DEOXFVShc
EX_3bcrn_
r1291
S6T1g
FACOAL226
r1914
4HATVACIDthc
EX_gumgchol(e)
r2187
r2196
HPDCACRNCPT1
r2280
C226CPT1
r1986
SERt4
FAOXC120100m
AG13T13g
r0641
FAOXC205C184x
r2086
r0728
EX_btn(e)
GALt4
PROSTGD2t
CHOLK
HYPTROXe
HEX4
r2090
13DMTtu
r2176
31DMThr
MTHFTe
GABABGTtc
RE1530C
RE3241R
r2330
GCC2am
TLACFVSitr
r1755
CRGLZhr
PYK
NAGLCAly
r0973
CSNATr
r1528
CYTK7n
GF6PTA
XOL27OHtm
BILGLCURt
XOLTRI24tc
CYSO
r0345
SBPP3er
PNTORDe
