ID,t,logFC,P.Value
HGNC:13168,5.744300101,0.467761583,0.000240797
HGNC:29571,7.130693205,0.463810699,4.5e-05
HGNC:12881,5.864624922,0.463538866,0.000206156
HGNC:20466,2.196927766,0.450801293,0.054524028
HGNC:11300,5.121817215,0.450073519,0.000555321
HGNC:1255,4.077669249,0.447155255,0.002554699
HGNC:11695,5.270664161,0.445697807,0.000452491
HGNC:5397,4.90806992,0.445059561,0.000749329
HGNC:6552,8.681479137,0.44485512,8.92e-06
HGNC:34451,6.356677953,0.442481398,0.00011144
HGNC:16031,2.626817906,0.437459258,0.026667484
HGNC:10416,4.229726313,0.433053143,0.002025888
HGNC:33195,4.786349275,0.431358902,0.000891367
HGNC:11725,5.128075746,0.430394638,0.000550525
HGNC:30704,6.370785435,0.428853532,0.000109542
HGNC:2279,5.777042599,0.427614984,0.000230787
HGNC:27014,4.586945089,0.426861478,0.00119005
HGNC:44106,3.078488764,0.426811668,0.012598741
HGNC:32962,4.761052422,0.422792154,0.000924359
HGNC:25597,5.801338286,0.42253643,0.00022365
HGNC:3284,4.055900018,0.422308732,0.002641638
HGNC:13153,4.070549498,0.422235046,0.002582795
HGNC:17377,4.874038506,0.421091453,0.000786421
HGNC:8751,4.28727418,0.41940705,0.001857208
HGNC:9882,4.001287743,0.417835944,0.002873797
HGNC:12992,7.086596689,0.416823125,4.73e-05
HGNC:12616,3.465056846,0.416736017,0.006706305
HGNC:10038,5.995815026,0.416096747,0.000174428
HGNC:10023,6.130541624,0.413893476,0.000147269
HGNC:8789,4.216444955,0.413080129,0.002067081
HGNC:6761,5.042410623,0.412874233,0.00062023
HGNC:16914,2.180297671,0.412136387,0.056043228
HGNC:13241,5.165359237,0.411894484,0.00052286
HGNC:8790,5.483457403,0.411254424,0.000339502
HGNC:27616,3.368297278,0.409281887,0.007842355
HGNC:11521,5.122601853,0.409260459,0.000554717
HGNC:3508,6.010175893,0.408224812,0.00017129
HGNC:24724,7.377884228,0.407950118,3.42e-05
HGNC:3590,2.720857695,0.407795796,0.022798292
HGNC:775,5.310911509,0.407454389,0.00042835
HGNC:7532,2.676725568,0.40573485,0.024538232
HGNC:6122,1.988391519,0.402834776,0.076802969
HGNC:24563,6.0678806,0.402607683,0.000159283
HGNC:9981,4.333275073,0.401265271,0.001733114
HGNC:6391,2.540795713,0.401117564,0.030781493
HGNC:29580,7.340299279,0.399473946,3.57e-05
HGNC:28577,4.783703744,0.398496828,0.000894758
HGNC:44308,5.972327151,0.398044126,0.000179695
HGNC:12582,5.090017448,0.397841181,0.000580393
HGNC:20370,2.717329308,0.395551461,0.022932707
HGNC:7898,3.930077904,0.394015156,0.003209361
HGNC:20811,5.297788024,0.393946459,0.000436065
HGNC:18783,4.259090411,0.393840543,0.001937874
HGNC:11892,3.791975599,0.393441763,0.00398346
HGNC:4419,6.553685108,0.392629052,8.79e-05
HGNC:17814,6.023858971,0.388490205,0.000168356
HGNC:24325,3.586776526,0.387580414,0.005515906
HGNC:11362,3.294658567,0.385878764,0.008839889
HGNC:24436,4.674195366,0.385076058,0.001047951
HGNC:26252,3.533264896,0.384655572,0.006009488
HGNC:7228,4.68257318,0.384293417,0.001035293
HGNC:7963,4.394213408,0.381792666,0.00158213
HGNC:1247,2.872771746,0.381211341,0.017707257
HGNC:5156,6.468972059,0.381074685,9.73e-05
HGNC:33769,3.210921208,0.381060623,0.01013559
HGNC:8524,3.304412755,0.380719474,0.008700529
HGNC:25281,5.015767403,0.380483049,0.000643797
HGNC:19356,4.166108155,0.380201057,0.002231452
HGNC:9889,5.666152961,0.378649828,0.000266637
HGNC:11657,6.730278779,0.378337479,7.13e-05
HGNC:21481,3.595213698,0.377588876,0.005442036
HGNC:13659,3.066657229,0.376761465,0.012846852
HGNC:26526,2.610448985,0.376301174,0.027405493
HGNC:41274,7.752647497,0.376234334,2.28e-05
HGNC:13017,4.264505118,0.373611632,0.001922093
HGNC:10703,4.228317908,0.373387872,0.002030215
HGNC:24740,4.820262878,0.373125465,0.000849101
HGNC:26103,3.562152391,0.372756374,0.005737553
HGNC:19008,5.433739436,0.371191177,0.000362865
HGNC:20907,4.525364128,0.37109941,0.001302657
HGNC:1268,4.633182982,0.370780925,0.001112346
HGNC:21225,5.298953149,0.370190271,0.000435374
HGNC:18874,7.753282792,0.370076278,2.28e-05
HGNC:54052,5.080603578,0.368117628,0.000588047
HGNC:8821,6.571692991,0.364777324,8.6e-05
HGNC:32434,5.902211615,0.362920667,0.000196471
HGNC:30827,4.957240474,0.360795516,0.000699011
HGNC:11551,2.252756784,0.360355716,0.049710883
HGNC:33858,6.14574348,0.360184302,0.000144505
HGNC:215,3.306006494,0.358757047,0.008677976
HGNC:26703,4.917713093,0.358624263,0.000739163
HGNC:17182,6.001528908,0.358331657,0.000173172
HGNC:25047,4.177441685,0.357883863,0.002193271
HGNC:21484,5.074761162,0.357730509,0.000592852
HGNC:30571,5.473389953,0.357590887,0.000344099
HGNC:12879,3.674407082,0.356861883,0.004797095
HGNC:11046,6.189048186,0.355106565,0.000136934
HGNC:19828,3.321588774,0.353200948,0.00846064
HGNC:4053,2.788265291,0.350269365,0.020377853
HGNC:20569,2.915720848,0.349975303,0.016489208
HGNC:6916,5.109741545,0.348799534,0.000564702
HGNC:5360,6.821633745,0.348341145,6.41e-05
HGNC:19401,4.080110613,0.347246358,0.00254514
HGNC:16105,3.343727878,0.347012856,0.00816151
HGNC:12924,3.189081005,0.346132126,0.010504778
HGNC:16404,7.662301421,0.344812468,2.51e-05
HGNC:19285,2.706486902,0.34474539,0.023350772
HGNC:23708,5.056025001,0.343606678,0.000608546
HGNC:29969,3.575065045,0.343268918,0.005620186
HGNC:44478,6.587511629,0.343189749,8.44e-05
HGNC:18835,7.381703667,0.34221646,3.41e-05
HGNC:9726,3.177108572,0.341988051,0.010713022
HGNC:2376,6.561692858,0.341642099,8.7e-05
HGNC:9277,3.902851151,0.340034427,0.003348375
HGNC:20248,3.671202877,0.33963601,0.004821571
HGNC:11112,5.131352598,0.338960288,0.000548031
HGNC:11546,7.20754416,0.338550817,4.13e-05
HGNC:15878,3.947888136,0.338321696,0.003121729
HGNC:12327,4.047482466,0.336966399,0.002676088
HGNC:49148,1.763466708,0.336831013,0.110389503
HGNC:11835,4.295551804,0.336633249,0.0018342
HGNC:29145,5.697685741,0.334503467,0.000255866
HGNC:32576,4.210778138,0.334350315,0.002084927
HGNC:24950,2.650709587,0.333746412,0.025625949
HGNC:12918,4.379642624,0.333628208,0.001616912
HGNC:16939,5.492520587,0.333377654,0.000335421
HGNC:30290,4.588818482,0.333355628,0.001186792
HGNC:25112,5.957208069,0.332864018,0.000183177
HGNC:25794,3.142460614,0.33224724,0.011339989
HGNC:37281,3.330457485,0.331398048,0.008339469
HGNC:25930,5.124962022,0.331128803,0.000552905
HGNC:1980,2.689798579,0.330688018,0.024009313
HGNC:44223,3.721268019,0.330065394,0.004453652
HGNC:3238,1.490848357,0.329657997,0.168939396
HGNC:5362,3.845308696,0.329599809,0.003663473
HGNC:17179,3.163564503,0.329589363,0.010953742
HGNC:44172,4.651117389,0.329455386,0.001083681
HGNC:1940,4.37679627,0.329359114,0.001623801
HGNC:20352,3.470608218,0.329247844,0.006646564
HGNC:5409,2.493875205,0.329077058,0.033286615
HGNC:4667,7.015574422,0.328168569,5.13e-05
HGNC:26765,3.409842233,0.3275791,0.007331849
HGNC:31455,4.780449399,0.327436914,0.000898947
HGNC:30570,3.827646926,0.327265695,0.003766335
HGNC:11979,3.889466869,0.3268368,0.003419026
HGNC:1762,3.326877473,0.32529309,0.008388164
HGNC:49544,4.21058394,0.324782688,0.002085542
HGNC:32688,4.771847169,0.324669502,0.000910123
HGNC:4420,4.999224745,0.323404569,0.000658913
HGNC:21091,5.566955661,0.32304198,0.000303836
HGNC:28384,3.799327616,0.321161993,0.003937656
HGNC:5982,4.340012776,0.320805227,0.001715691
HGNC:20690,3.01410741,0.319924281,0.014010904
HGNC:26401,5.057088787,0.319459886,0.000607643
HGNC:31988,5.540516411,0.318813456,0.000314671
HGNC:20294,4.224386968,0.318789438,0.002042343
HGNC:32032,5.185222255,0.318336537,0.000508736
HGNC:5429,7.197819745,0.316444653,4.18e-05
HGNC:21224,3.505111955,0.3160358,0.006287474
HGNC:11896,2.469219999,0.314176735,0.034683235
HGNC:28228,6.036297939,0.313565284,0.000165737
HGNC:16846,4.476389176,0.313381115,0.001400317
HGNC:14623,6.455229819,0.312919316,9.89e-05
HGNC:19300,3.507621782,0.312331768,0.006262156
HGNC:1136,6.949396357,0.312084774,5.53e-05
HGNC:19056,5.357657085,0.311222415,0.000402038
HGNC:16101,3.1604863,0.311213083,0.011009224
HGNC:23718,4.481029435,0.311206337,0.001390737
HGNC:6159,4.294564466,0.308503544,0.001836928
HGNC:25210,4.752802261,0.308197798,0.000935399
HGNC:30908,2.412364762,0.308115591,0.038129321
HGNC:53227,5.982276093,0.308050215,0.000177443
HGNC:30498,4.606017002,0.307384335,0.001157319
HGNC:3708,4.057303076,0.307336103,0.002635941
HGNC:52695,4.556911934,0.305755266,0.001243613
HGNC:21628,3.301344026,0.305611736,0.008744125
HGNC:2357,5.571219455,0.305578706,0.000302127
HGNC:8071,3.141109879,0.305501255,0.011365183
HGNC:29102,4.547737804,0.305196117,0.001260483
HGNC:11183,5.35926982,0.304402761,0.000401162
HGNC:23091,3.042399496,0.303725001,0.013371346
HGNC:654,4.431996653,0.303145711,0.001495595
HGNC:978,5.420352027,0.302686178,0.000369448
HGNC:16437,4.616864,0.302504628,0.001139133
HGNC:12989,2.415575071,0.301132637,0.037926013
HGNC:7114,5.880614144,0.30086373,0.000201975
HGNC:24953,3.036018979,0.299843042,0.013512919
HGNC:25484,3.202690389,0.299483159,0.010273126
HGNC:11359,4.192746121,0.298188404,0.002142808
HGNC:24002,5.438070303,0.297514623,0.000360763
HGNC:9508,5.557909579,0.297441156,0.000307497
HGNC:16157,3.322425836,0.297293568,0.008449126
HGNC:25676,3.016231831,0.297265719,0.01396181
HGNC:15832,4.249072534,0.297071327,0.001967436
HGNC:3674,3.762255104,0.296441964,0.004174406
HGNC:11700,4.017428332,0.296344864,0.002803018
HGNC:16202,3.882916278,0.296139637,0.003454175
HGNC:862,5.479198271,0.29578376,0.000341439
HGNC:11891,5.310629994,0.295653765,0.000428514
HGNC:24278,4.635924848,0.2952349,0.001107912
HGNC:22135,3.884430694,0.29482025,0.003446016
HGNC:10897,3.931481587,0.29356168,0.003202362
HGNC:4197,3.437079618,0.291851884,0.007016012
HGNC:20875,3.853282487,0.290493454,0.003618007
HGNC:7954,2.543042757,0.290419171,0.030666354
HGNC:633,3.907590982,0.290406029,0.003323726
HGNC:8088,3.233320086,0.290372874,0.009770854
HGNC:27196,4.26381904,0.289911864,0.001924085
HGNC:19700,2.997731771,0.289815288,0.014395319
HGNC:15550,2.782457523,0.289759255,0.02057575
HGNC:20856,3.266408974,0.289265654,0.009256686
HGNC:19024,3.405767879,0.289233056,0.007380351
HGNC:24309,5.107800449,0.288975994,0.000566226
HGNC:12904,3.761464901,0.287703981,0.004179613
HGNC:24101,3.493097733,0.28760133,0.006410157
HGNC:838,4.460285662,0.286693656,0.00143411
HGNC:13156,6.180275858,0.286685004,0.000138432
HGNC:939,4.393554932,0.285913932,0.001583685
HGNC:26658,3.747652489,0.285890985,0.004271725
HGNC:25642,3.003942902,0.285246362,0.014248259
HGNC:20812,3.456109704,0.285064034,0.006803771
HGNC:13166,4.002019574,0.285043341,0.002870548
HGNC:14886,3.992104468,0.285012094,0.002914908
HGNC:15867,6.394830558,0.284780589,0.000106388
HGNC:2185,1.952143631,0.284269855,0.08147194
HGNC:6449,3.042290868,0.284150133,0.013373744
HGNC:26643,3.540102405,0.283742567,0.00594393
HGNC:11548,4.977609216,0.283298063,0.00067924
HGNC:6169,3.634702546,0.281942227,0.0051098
HGNC:32206,4.174340736,0.281900647,0.002203648
HGNC:4679,2.528836683,0.28185108,0.03140157
HGNC:26349,5.410376087,0.28174219,0.000374438
HGNC:50466,4.002730719,0.281563254,0.002867393
HGNC:17313,2.438082758,0.281182183,0.036530411
HGNC:15606,3.794715485,0.28113033,0.003966325
HGNC:28031,3.876208544,0.281056394,0.003490562
HGNC:18867,3.394834005,0.280486618,0.007512165
HGNC:17195,3.040895286,0.279851087,0.013404584
HGNC:48636,1.459851546,0.279255195,0.177092529
HGNC:19172,4.767390529,0.278977021,0.000915972
HGNC:4131,4.03732838,0.277914003,0.002718279
HGNC:16650,5.38209139,0.277528576,0.000388983
HGNC:11771,3.548985899,0.276867,0.005859867
HGNC:19677,3.253168676,0.274075819,0.009458984
HGNC:15858,3.425047318,0.273261764,0.007153753
HGNC:13099,4.434908788,0.27316919,0.001489138
HGNC:26900,2.973433518,0.272863499,0.01498571
HGNC:23200,2.935948455,0.272727937,0.015945468
HGNC:10782,3.200837651,0.272032534,0.01030435
HGNC:19158,3.985237969,0.271298778,0.002946053
HGNC:28254,3.341755742,0.271274946,0.008187706
HGNC:13450,4.739504674,0.271116301,0.000953491
HGNC:43684,5.749962279,0.270970571,0.000239033
HGNC:25331,3.230751268,0.270671528,0.009811986
HGNC:30097,4.381973473,0.27050251,0.001611294
HGNC:25122,6.229049152,0.270332401,0.000130322
HGNC:18999,4.272903092,0.270240935,0.001897885
HGNC:12975,3.350439086,0.270160315,0.008073016
HGNC:30394,4.484355691,0.270089407,0.001383914
HGNC:21785,5.914890526,0.268800228,0.000193316
HGNC:26211,5.373098363,0.268766299,0.000393734
HGNC:18901,2.462600881,0.268683932,0.035067989
HGNC:11929,3.620415429,0.268534047,0.005227484
HGNC:28087,1.437705718,0.26840162,0.183124926
HGNC:30916,3.53176148,0.268010724,0.006024004
HGNC:4068,3.40246276,0.267434666,0.007419941
HGNC:3170,3.297514286,0.26709886,0.008798851
HGNC:27801,5.889417722,0.266883223,0.000199711
HGNC:24055,5.857124066,0.266824688,0.00020815
HGNC:4074,5.030706543,0.266756401,0.000630466
HGNC:11907,4.025351841,0.266604298,0.002768948
HGNC:24534,3.980032793,0.265495133,0.002969897
HGNC:30815,2.244174337,0.265201759,0.050422918
HGNC:25968,4.782673956,0.265108993,0.000896081
HGNC:13507,3.721085711,0.26432752,0.004454937
HGNC:5401,3.468986937,0.263630474,0.006663954
HGNC:4514,4.814953443,0.263184071,0.000855574
HGNC:48600,2.977602859,0.263162533,0.014882672
HGNC:11391,4.115430384,0.263138659,0.002410998
HGNC:16776,2.257129517,0.262845655,0.049351883
HGNC:12642,4.907021631,0.262574126,0.000750443
HGNC:25467,4.999949354,0.26170282,0.000658242
HGNC:24584,2.684512724,0.261606973,0.024221776
HGNC:11944,3.098156883,0.261431077,0.012197133
HGNC:29526,4.194015625,0.259490339,0.002138678
HGNC:7901,3.033899516,0.259194138,0.013560285
HGNC:24044,5.320632059,0.259109902,0.000422729
HGNC:13429,4.046952899,0.258895977,0.002678271
HGNC:8068,5.077870135,0.258821897,0.00059029
HGNC:8981,4.606835462,0.258604384,0.001155936
HGNC:805,4.161054242,0.258518428,0.002248704
HGNC:1789,4.696875258,0.258421956,0.001014061
HGNC:13192,4.544868167,0.258016067,0.001265809
HGNC:18536,2.194676181,0.258004872,0.054727354
HGNC:6327,3.225544766,0.25760333,0.009895903
HGNC:1856,6.325609858,0.257182706,0.000115745
HGNC:29520,3.972233261,0.255900714,0.003006006
HGNC:23370,3.98290505,0.255872769,0.002956715
HGNC:24299,4.036832861,0.255516836,0.002720356
HGNC:9787,5.207328371,0.25499274,0.000493497
HGNC:23151,4.103892736,0.254868421,0.002453975
HGNC:13001,5.265121925,0.254486919,0.000455928
HGNC:23087,5.140429063,0.253801834,0.000541188
HGNC:13308,4.532368071,0.253628063,0.001289295
HGNC:26402,2.47436188,0.253610317,0.034387243
HGNC:24061,3.544645063,0.253491729,0.005900787
HGNC:24659,4.089259602,0.253393784,0.002509651
HGNC:24869,3.213395875,0.252709523,0.010094612
HGNC:3959,2.25111358,0.251763433,0.049846447
HGNC:24217,3.567070104,0.251659098,0.005692556
HGNC:14932,4.023042297,0.250864113,0.002778833
HGNC:27886,3.280097499,0.250793627,0.009052241
HGNC:20876,4.541981947,0.250637047,0.001271191
HGNC:7817,4.817275181,0.250399762,0.000852737
HGNC:13464,4.745566601,0.250387861,0.000945198
HGNC:29857,2.824575677,0.250130693,0.019183567
HGNC:20427,3.590781687,0.250011426,0.005480709
HGNC:19667,5.272033864,0.24995945,0.000451646
HGNC:11087,1.421774688,0.249534305,0.187573498
HGNC:16956,4.811147561,0.249319439,0.000860246
HGNC:27301,4.253465032,0.248944222,0.001954416
HGNC:34511,3.872566554,0.248938475,0.003510488
HGNC:103,2.462432659,0.248501789,0.035077822
HGNC:7455,4.559859855,0.248387056,0.001238243
HGNC:13208,3.619156947,0.248315449,0.005237985
HGNC:25384,3.179388464,0.248043114,0.010673041
HGNC:25501,4.296701611,0.247966842,0.001831028
HGNC:15828,4.697325058,0.247335007,0.001013401
HGNC:4650,4.990637588,0.247281866,0.000666909
HGNC:28063,4.078438134,0.24660605,0.002551685
HGNC:12391,4.828552618,0.246429555,0.0008391
HGNC:4844,1.804034865,0.246358543,0.103466065
HGNC:30761,3.599762825,0.245365565,0.005402636
HGNC:24013,3.469687378,0.245195164,0.006656435
HGNC:29971,4.593516578,0.245182304,0.001178662
HGNC:26936,3.9320269,0.244885618,0.003199647
HGNC:1785,3.981752871,0.24486646,0.002961995
HGNC:1528,5.1849246,0.244712879,0.000508944
HGNC:45036,2.335865585,0.244653974,0.043305015
HGNC:27514,3.110828336,0.244590795,0.011945383
HGNC:30792,3.425670451,0.24457961,0.007146551
HGNC:17662,2.147092169,0.244494211,0.059200188
HGNC:51153,3.285903393,0.244002097,0.008966944
HGNC:29535,3.811244305,0.243732277,0.003864586
HGNC:2518,3.921974289,0.24321744,0.003250089
HGNC:18666,3.381022989,0.243210007,0.007682171
HGNC:39522,4.682397064,0.243088354,0.001035558
HGNC:9543,5.098936938,0.242968844,0.00057324
HGNC:4130,3.468586462,0.242696842,0.006668257
HGNC:23710,4.458543989,0.242603446,0.001437816
HGNC:29665,1.845435614,0.24211003,0.096816699
HGNC:40028,2.511945663,0.241825141,0.03229864
HGNC:15923,2.234604619,0.241794095,0.051228583
HGNC:31853,5.437737871,0.24171893,0.000360924
HGNC:5411,3.031098988,0.241059881,0.013623133
HGNC:26684,4.411438507,0.240958819,0.001542036
HGNC:29517,2.878119975,0.240856846,0.017550717
HGNC:13003,3.123917935,0.240632766,0.011690932
HGNC:4017,3.330910214,0.240177269,0.008333332
HGNC:4234,2.509198591,0.240100711,0.032446929
HGNC:13931,5.643892608,0.239244479,0.000274534
HGNC:9904,3.896557163,0.238937136,0.003381405
HGNC:29581,4.758770563,0.238822359,0.000927398
HGNC:13146,4.300195393,0.238717023,0.001821425
HGNC:25234,3.14388503,0.238697115,0.011313483
HGNC:1775,2.951090618,0.238589372,0.015550432
HGNC:10037,4.407147168,0.238480698,0.001551923
HGNC:4746,4.715742285,0.238312282,0.000986761
HGNC:24091,4.864125873,0.238154575,0.000797591
HGNC:12468,3.41092253,0.237878965,0.007319045
HGNC:25954,4.051562998,0.237764534,0.002659329
HGNC:12464,3.816803241,0.237165494,0.00383099
HGNC:7758,4.005025214,0.236761107,0.002857242
HGNC:1093,4.490365783,0.23642196,0.001371674
HGNC:29239,3.164242012,0.236129517,0.010941569
HGNC:27581,4.151316866,0.235625229,0.002282344
HGNC:7989,4.887906313,0.235405418,0.000771073
HGNC:13060,2.578205286,0.235113521,0.028919628
HGNC:30559,2.069783354,0.235071625,0.067228391
HGNC:25609,2.48079707,0.234642911,0.034020334
HGNC:28240,3.69026135,0.23454024,0.004677892
HGNC:24358,2.818411766,0.234464204,0.019381186
HGNC:27319,3.459150028,0.234126189,0.006770487
HGNC:9796,3.896774172,0.233887719,0.003380261
HGNC:30443,3.317867676,0.233661465,0.008512022
HGNC:32339,3.531022365,0.233497795,0.006031154
HGNC:1239,4.128005832,0.233350564,0.002365061
HGNC:24890,2.983576425,0.233328122,0.014736306
HGNC:28764,3.532172365,0.233260125,0.006020033
HGNC:1065,3.251106651,0.232621353,0.009490899
HGNC:10409,3.564517663,0.232597622,0.005715865
HGNC:16192,3.198557854,0.232224958,0.010342905
HGNC:18832,3.797074456,0.232157123,0.003951634
HGNC:18714,3.54872609,0.23143666,0.005862308
HGNC:34345,3.503005116,0.231213276,0.00630881
HGNC:1728,5.164553015,0.230609736,0.000523443
HGNC:27922,3.704722804,0.230580304,0.004571869
HGNC:14955,2.671269461,0.230337528,0.024762434
HGNC:11067,4.429614644,0.230216769,0.001500899
HGNC:13386,3.426673589,0.230076935,0.007134973
HGNC:14607,4.009263463,0.229823776,0.002838589
HGNC:20814,3.516321247,0.229729232,0.006175218
HGNC:6893,4.916680003,0.229725094,0.000740245
HGNC:12196,3.521337379,0.229639028,0.006125663
HGNC:33732,3.997135168,0.229389153,0.002892311
HGNC:1336,2.327070756,0.229169265,0.043942656
HGNC:10448,4.619165145,0.229145446,0.001135315
HGNC:23473,2.413209733,0.228902391,0.038075705
HGNC:28772,3.793767629,0.228779008,0.003972244
HGNC:50628,4.782869096,0.228562122,0.00089583
HGNC:24050,2.490601979,0.228424753,0.033468763
HGNC:26203,3.094697413,0.228336301,0.012266807
HGNC:11012,4.0765225,0.228186424,0.002559203
HGNC:19077,2.30926405,0.228068855,0.045262017
HGNC:10784,3.470878295,0.227980854,0.006643672
HGNC:7860,4.624835465,0.227803319,0.001125963
HGNC:2680,3.840223762,0.227584027,0.003692781
HGNC:40540,1.845341968,0.227466423,0.096831281
HGNC:27815,2.662392593,0.2273692,0.025131614
HGNC:25446,2.122763901,0.227152797,0.061621461
HGNC:13029,2.865619617,0.227067063,0.017918818
HGNC:25720,2.999602519,0.227059309,0.014350863
HGNC:51687,4.359638272,0.226954786,0.001665995
HGNC:28758,3.896872581,0.226644599,0.003379742
HGNC:2874,4.42342441,0.226515955,0.001514777
HGNC:54524,4.395726939,0.226015049,0.001578563
HGNC:31804,3.21967555,0.225926269,0.009991391
HGNC:24689,4.793918142,0.22540657,0.000881743
HGNC:2169,2.777307848,0.225247578,0.02075285
HGNC:5193,4.558672966,0.224797788,0.001240402
HGNC:19721,4.813570824,0.22469996,0.000857268
HGNC:3796,1.643228103,0.224563545,0.133478669
HGNC:18746,3.087005535,0.224488823,0.012423193
HGNC:24245,2.184561998,0.224435897,0.055649805
HGNC:32443,3.606118577,0.224345308,0.005348089
HGNC:24717,5.322191243,0.224114982,0.000421835
HGNC:32961,4.062725471,0.223686097,0.002614047
HGNC:9359,2.221682329,0.223653085,0.052336412
HGNC:12859,2.826492566,0.223522967,0.019122528
HGNC:44206,1.567982123,0.223119988,0.150063099
HGNC:25741,3.80185538,0.222981149,0.003922036
HGNC:10404,4.983483114,0.222809906,0.00067365
HGNC:3999,2.830430343,0.222772629,0.018997756
HGNC:30831,2.611894024,0.22247433,0.027339526
HGNC:11470,2.99134074,0.222411722,0.014548261
HGNC:30925,3.131902733,0.222267389,0.011538459
HGNC:33754,4.303148677,0.222218661,0.00181335
HGNC:17648,3.293834481,0.22215005,0.008851768
HGNC:20873,2.744203491,0.222004439,0.021928747
HGNC:30775,2.199471198,0.221783747,0.054295229
HGNC:14525,4.993199475,0.221362105,0.000664512
HGNC:9437,3.890577703,0.221096392,0.003413103
HGNC:27511,2.670820489,0.220740833,0.024780975
HGNC:23136,3.711262614,0.220633683,0.004524753
HGNC:27024,4.809323066,0.22057591,0.000862496
HGNC:28731,2.700545958,0.220513466,0.023583096
HGNC:15667,3.133740487,0.220500206,0.011503657
HGNC:53375,2.133372735,0.220049223,0.0605541
HGNC:9187,3.696465431,0.220004432,0.004632095
HGNC:20509,5.381318292,0.219874715,0.000389389
